Name,State_Found,Party,Twitter,Facebook,Website
Letitia A. James,NY,Democratic Party,NewYorkStateAG,,https://ag.ny.gov/
Linda T. Sánchez,CA,Democratic Party,RepLindaSanchez,CongresswomanLindaSanchez,https://lindasanchez.house.gov/
Lita Leo,TX,Unknown,,,
Lonnell Matthews,TN,Nonpartisan,,,https://juvenilecourtclerk.nashville.gov/
Luis V. Saenz,TX,,,,
Lynn Fazz,AZ,Republican Party,,,https://www.yumacountyaz.gov/government/courts/clerk-of-superior-court
Lynn Marie Goya,NV,Democratic Party,,,https://www.clarkcountynv.gov/clerk/Pages/locations-and-hours.aspx
Lynn Rogers,KS,Democratic Party,,Government-Official,https://governor.kansas.gov/about-the-office/lt-governor/
Lynne Chupp Finley,TX,Republican Party,,,http://www.collincountytx.gov/district_clerk/Pages/default.aspx
Maggie Toulouse Oliver,NM,Democratic Party,NMSecOfState,NMSecOfState,http://www.sos.state.nm.us/
Malia Cohen,CA,,,,http://www.boe.ca.gov/members/board.htm
Maria Pappas,IL,Unknown,,,https://www.cookcountyil.gov/person/maria-pappas
Marian Brown,TX,Democratic Party,Dallas_Sheriff,Dallas.Sheriff.Dept,http://www.dallascounty.org/department/sheriff/sheriff_index.php
Mariano-Florentino Cuéllar,CA,,CalCourts,,https://www.courts.ca.gov/28724.htm
Marilyn Burgess,TX,Unknown,,,http://www.hcdistrictclerk.com/Common/Default.aspx
Mark A. Lunn,CA,Nonpartisan,VCClerkRecorder,VENTURACOUNTYCLERKANDRECORDER,https://recorder.countyofventura.org/
Mark Brnovich,AZ,Republican Party,GeneralBrnovich,,https://www.azag.gov/
Mark Butler,GA,Republican Party,GeorgiaDOL,GeorgiaDOL,https://dol.georgia.gov/
Mark Henry,TX,Unknown,,,http://www.galvestoncountytx.gov/CJ/Pages/default.aspx
Mark Johnson,NC,Republican Party,MarkRJohnsonNC,,https://www.ncsuperintendent.com/
Mark R. Herring,VA,Democratic Party,AGMarkHerring,AGMarkHerring,https://www.oag.state.va.us/
Mark R. Warner,VA,Democratic Party,MarkWarner,MarkRWarner,http://warner.senate.gov/
Mark Takano,CA,Democratic Party,RepMarkTakano,RepMarkTakano,http://takano.house.gov/
Mark Wayne Reeves,AZ,Nonpartisan,,,https://www.yumacountyaz.gov/government/courts/superior-court/about-contact/division-1
Marla J. Luckert,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/luckert.asp
Marsha Blackburn,TN,Republican Party,marshablackburn,,https://www.blackburn.senate.gov/
Martesha Johnson,TN,Nonpartisan,,,https://publicdefender.nashville.gov/
Martha McSally,AZ,Republican Party,SenMcSallyAZ,,https://www.mcsally.senate.gov/
Martin Heinrich,NM,Democratic Party,MartinHeinrich,MartinHeinrich,http://www.heinrich.senate.gov/
Mary B. Bedard,CA,Nonpartisan,,,
Mary C. Barlow,CA,Nonpartisan,KCSOS,281210562985,http://kern.org/
Maxine Waters,CA,Democratic Party,MaxineWaters,MaxineWaters,http://waters.house.gov/
Melinda Katz,NY,Democratic,,,http://www.queensbp.org/
Melissa Wilk,CA,Nonpartisan,,,http://www.acgov.org/auditor/
Michael Hestrin,CA,Nonpartisan,RivCoDA,,http://www.rivcoda.org/opencms/index.html
Michael Kubosh,TX,Nonpartisan,MichaelKubosh3,,http://www.houstontx.gov/council/3/index.html
Michael P. Boggs,GA,,SupremeCourtGA,,
Michael W. Frerichs,IL,Democratic Party,ILTreasurer,,https://illinoistreasurer.gov/
Michelle Lujan Grisham,NM,Democratic Party,GovMLG,GovMLG,https://www.governor.state.nm.us/
Mike Boudreaux,CA,Nonpartisan,TulareSheriff,,https://tularecounty.ca.gov/sheriff/
Mike Causey,NC,Republican Party,NCInsuranceDept,,http://www.ncdoi.com/
Mike Feuer,CA,Nonpartisan,CityAttorneyLA,,https://www.lacityattorney.org/
Mike Knox,TX,Nonpartisan,,,http://www.houstontx.gov/council/1/
Mike Pence,TX,Republican Party,VP,whitehouse,http://www.whitehouse.gov/
Mike Schaefer,CA,,,,http://www.boe.ca.gov/members/board.htm
