Name,State_Found,Party,Twitter,Facebook,Website
Dan Patrick,TX,Republican Party,LtGovTX,ltgovtx,http://www.ltgov.state.tx.us/
Daniel Goodwin,CA,Nonpartisan,,,http://assessor.countyofventura.org/
Darcel D. Clark,NY,Democratic,,,
Daron Hall,TN,Nonpartisan,DCSO1963,136857721011,https://www.nashville.gov/Sheriffs-Office.aspx
David A. Betancourt,TX,Unknown,,,
David Briley,TN,Nonpartisan,davidbriley,BrileyForViceMayor,https://www.nashville.gov/Mayors-Office.aspx
David E. Nahmias,GA,,SupremeCourtGA,,
David Haws,AZ,Nonpartisan,,,https://www.yumacountyaz.gov/government/courts/superior-court/about-contact/division-4
David Perdue,GA,Republican Party,sendavidperdue,SenatorDavidPerdue,http://www.perdue.senate.gov/
David Robinson,TX,Nonpartisan,dwr4hou,,http://www.houstontx.gov/council/2/
Debbie Conway,NV,Democratic Party,,,https://www.clarkcountynv.gov/recorder/Pages/HoursLocation.aspx
Dee Margo,TX,Nonpartisan,,,https://www.elpasotexas.gov/mayor
Delia Briones,TX,Unknown,,,http://www.epcounty.com/clerk/
Derek Schmidt,KS,Republican Party,KSAGOffice,,http://ag.ks.gov/
Diane Trautman,TX,Unknown,,,http://www.cclerk.hctx.net/
Dianne Feinstein,CA,Democratic Party,SenFeinstein,SenatorFeinstein,http://www.feinstein.senate.gov/public/
Don Barnes,CA,Nonpartisan,ocsd,93196209677,http://www.ocgov.com/gov/ceo/care/oc_sheriff%E2%80%99s_department
Donald J. Trump,TX,Republican Party,potus,whitehouse,http://www.whitehouse.gov/
Donny Youngblood,CA,Nonpartisan,,,http://www.kernsheriff.org/
Dorothy Anne Brown,IL,Democratic,,,http://www.cookcountyclerkofcourt.org/
Doug Ducey,AZ,Republican Party,dougducey,dougducey,
Doug Haubert,CA,Nonpartisan,,,http://cityprosecutordoughaubert.com/
Dwight D. Sullivan,TX,Unknown,dwightsullivan,,http://www.galvestoncountytx.gov/cc/Pages/default.aspx
Dylan Osborne,TX,Unknown,orlando_sanchez,,https://treasurer.harriscountytx.gov/Pages/default.aspx
Ed Eilert,KS,Nonpartisan,jocoksgovt,ed.eilert,http://www.jocogov.org/dept/board-county-commissioners/commissioners/chairman
Ed Emmett,TX,Unknown,,,http://www.judgeemmett.org/
Ed Gonzalez,TX,Democratic Party,HCSOTexas,HCSOTexas,http://www.harriscountyso.org/
Eddie Bernice Johnson,TX,Democratic Party,RepEBJ,CongresswomanEBJtx30,http://ebjohnson.house.gov/
"Eddie Trevino, Jr.",TX,Unknown,,,http://www.co.cameron.tx.us/commissioners/county_judge.php
Edward M. Moody,IL,Unknown,,,https://www.cookcountyil.gov/person/edward-m-moody-0
Elaine F. Marshall,NC,Democratic Party,NCSecState,,https://www.sosnc.gov/
Elaine G. Luria,VA,Democratic Party,RepElaineLuria,RepElaineLuria,https://luria.house.gov/
Eleni Kounalakis,CA,Democratic Party,EleniForCA,,https://ltg.ca.gov/
Elizabeth Waites,TN,Nonpartisan,escobarana,,https://www.nashville.gov/Metro-Clerk.aspx
Ensen Mason,CA,Nonpartisan,,,http://www.sbcounty.gov/atc/
Eric Garcetti,CA,Nonpartisan,mayorofla,garcetti,https://www.lamayor.org/
Eric Garza,TX,Unknown,,,
Eric Gonzalez,NY,Democratic,,,http://www.brooklynda.org/
Eric L. Adams,NY,Democratic,BPEricAdams,,
Eric S. Rosen,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/rosen.asp
Eric Swalwell,CA,Democratic Party,RepSwalwell,CongressmanEricSwalwell,http://swalwell.house.gov/
Eric Woolery,CA,Nonpartisan,OCAuditor,OCAuditor,http://acdcweb01.ocgov.com/
Erica Gilmore,TN,Nonpartisan,ericagilmore,EricaGilmore2015,https://www.nashville.gov/Metro-Council/Metro-Council-Members/At-Large-2-Council-Member.aspx
"Ernest J. Dronenburg, Jr.",CA,Nonpartisan,,,https://arcc.sdcounty.ca.gov/Pages/default.aspx
Faith Johnson,TX,,,,
Felicia Pitre,TX,Unknown,,,http://www.dallascounty.org/districtclerk/
Filemon Vela,TX,Democratic Party,RepFilemonVela,UsCongressmanFilemonVela,http://vela.house.gov/
Fiona Ma,CA,Democratic Party,CalTreasurer,,
Fritz Kaegi,IL,Unknown,,,http://www.cookcountyassessor.com/
Gale A. Brewer,NY,Democratic,,,https://www.manhattanbp.nyc.gov/
Gary W. Black,GA,Republican Party,,,http://agr.georgia.gov/
Gavin Newsom,CA,Democratic Party,GavinNewsom,,https://www.gov.ca.gov/
Geoff Duncan,GA,Republican Party,GeoffDuncanGA,,https://ltgov.georgia.gov/
George P. Bush,TX,Republican Party,txglo,,http://www.glo.texas.gov/
Gilbert Ray Cisneros Jr.,CA,Democratic Party,RepGilCisneros,RepGilCisneros,https://cisneros.house.gov/
Glenn Hegar,TX,Republican Party,txcomptroller,,https://comptroller.texas.gov/
Glenn R. Funk,TN,Nonpartisan,,723070091109668,https://da.nashville.gov/
Goodwin H. Liu,CA,,CalCourts,,https://www.courts.ca.gov/15450.htm
Grace F. Napolitano,CA,Democratic Party,gracenapolitano,RepGraceNapolitano,http://napolitano.house.gov/
Greg Abbott,TX,Republican Party,GovAbbott,,http://www.governor.state.tx.us/
Greg Willis,TX,,,,
Gregory Ahern,CA,Nonpartisan,ACSOSheriffs,ACSOSheriffs,https://www.alamedacountysheriff.org/
Gregory Totten,CA,Nonpartisan,,,https://www.vcdistrictattorney.com/
Harold D. Melton,GA,,SupremeCourtGA,,https://www.gasupreme.us/court-information/biographies/justice-harold-d-melton/
Hector Balderas,NM,Democratic Party,newmexicooag,,https://www.nmag.gov/
Henry A. Trochesset,TX,Unknown,,,http://www.galvestoncountytx.gov/SHERIFF/Pages/default.aspx
Henry C. Levy,CA,Nonpartisan,,,http://www.acgov.org/treasurer/
Howard Gentry,TN,Nonpartisan,CrimCtClerk,298672459522,https://ccc.nashville.gov/
Howie Morales,NM,Democratic Party,LtGovMorales,LtGovMorales,http://www.ltgov.state.nm.us/
Hugh Nguyen,CA,Nonpartisan,,154137124610648,https://ocsd.org/gov/clerk/
J.B. Pritzker,IL,Democratic Party,,,https://www2.illinois.gov/sites/gov/Pages/default.aspx
"J.E. ""Eddie"" Guerra",TX,Unknown,,,
Jack Christie,TX,Nonpartisan,DrJackChristie,,http://www.houstontx.gov/council/5/index.html
Jack Roady,TX,Unknown,,,http://www.galvestoncountytx.gov/districtattorney/Pages/default.aspx
Jackie Lacey,CA,Nonpartisan,,,http://da.lacounty.gov/
Jacky Rosen,NV,Democratic Party,senjackyrosen,SenJackyRosen,https://www.rosen.senate.gov/
Jake LaTurner,KS,Republican Party,KansasTreasurer,,https://www.kansasstatetreasurer.com/index.html
Jason Anderson,CA,Nonpartisan,sbcountyda,SanBernardinoCountyDistrictAttorney,http://www.sbcountyda.org/
