Name,File
Mark Brnovich,
Mark Butler,
Mark Henry,
Mark Johnson,
Mark R. Herring,
Mark R. Warner,data/rep_on_the_issues/Mark_Warner.html
Mark Takano,data/rep_on_the_issues/Mark_Takano.html
Mark Wayne Reeves,
Marla J. Luckert,
Marsha Blackburn,data/rep_on_the_issues/Marsha_Blackburn.html
Martesha Johnson,
Martha McSally,data/rep_on_the_issues/Martha_McSally.html
Martin Heinrich,data/rep_on_the_issues/Martin_Heinrich.html
Mary B. Bedard,
Mary C. Barlow,
Maxine Waters,data/rep_on_the_issues/Maxine_Waters.html
Melinda Katz,
Melissa Wilk,
Michael Hestrin,
Michael Kubosh,
Michael P. Boggs,
Michael W. Frerichs,
Michelle Lujan Grisham,
Mike Boudreaux,
Mike Causey,
Mike Feuer,
Mike Knox,
Mike Pence,data/rep_on_the_issues/Mike_Pence.html
Mike Schaefer,
Ming W. Chin,
Nancy O'Malley,
Nanette Diaz Barragán,
Nels S.D. Peterson,
Norma Favela,
Norma J. Torres,data/rep_on_the_issues/Norma_Torres.html
Omar Lucio,
"Pablo ""Paul"" Villareal",
Pat Roberts,data/rep_on_the_issues/Pat_Roberts.html
Patsy Schultz,
Paul Angulo,
Paul Cook,data/rep_on_the_issues/Paul_Cook.html
Pauline Medrano,
Pete Olson,data/rep_on_the_issues/Pete_Olson.html
Peter Aldana,
Philip J. Kellam,
Phong La,
Rahm Emanuel,data/rep_on_the_issues/Rahm_Emanuel.html
Ralph S. Northam,data/rep_on_the_issues/Ralph_Northam.html
Randy K. Weber Sr.,
Ricardo A. Samaniego,
Ricardo Lara,
Ricardo Rodriguez,
Richard A. Brown,
Richard Burr,data/rep_on_the_issues/Richard_Burr.html
Richard D. Wiles,
Richard F. Cortez,
Richard J. Durbin,data/rep_on_the_issues/Richard_Durbin.html
Richard R. Rooker,
Richard Steele,
"Richard T. Alexander, Jr.",
Richard Woods,
Rob Woodall,data/rep_on_the_issues/Rob_Woodall.html
Robert Benham,
Robert Garcia,
"Robert M. ""Bob"" Dyer",
Robert M. Brutinet,
Robert Telles,
Robyn Stallworth Pouquette,
Roger Nelson,
Roland P. Hill,
Ron Galperin,
Rosemary Wilson,
Roy Cooper,data/rep_on_the_issues/Roy_Cooper.html
"Roy Cordes, Jr.",
Ruben Diaz Jr.,
Ruben P. Gonzalez,
Ryan Sitton,
Sandra Kennedy,
Sarah H. Warren,
Scott Bales,
Scott Jones,
Scott M. Stringer,
Scott Schwab,
Shari Freidenrich,
Sharice Davids,data/rep_on_the_issues/Sharice_Davids.html
Sharon Hurt,
Sid Miller,
Stacey Kemp,
Stan Mantooth,
Stephanie Garcia Richard,
Stephen M Howe,
Steve Sisolak,data/rep_on_the_issues/Steve_Sisolak.html
Steve Troxler,
Steve Wolfson,
Steven Hintz,
Summer Stephan,
Susana Mendoza,
Sylvester Turner,
Sylvia Garza-Perez,
Tammy Duckworth,data/rep_on_the_issues/Tammy_Duckworth.html
Tani G. Cantil-Sakauye,
Ted Alejandre,
Ted Cruz,data/rep_on_the_issues/Ted_Cruz.html
Ted Gaines,
Thom Tillis,data/rep_on_the_issues/Thom_Tillis.html
Thomas C. Tyree,
Thomas Dart,
Thomas P. DiNapoli,
Tim A. Hire,
Tim Eichenberg,
Tim Kaine,data/rep_on_the_issues/Tim_Kaine.html
Tim Ward,
Tina E. Sinnen,
Todd Spitzer,
Tom Udall,data/rep_on_the_issues/Tom_Udall.html
Toni Preckwinkle,
Tony Cárdenas,
Tony K. Thurmond,
"Tony Yzaguirre, Jr.",
Troy E. Nehls,
VACANT,
Van Taylor,data/rep_on_the_issues/Van_Taylor.html
Veronica Escobar,data/rep_on_the_issues/Veronica_Escobar.html
Vicki Schmidt,
Vince Ryan,
Vivan M. Wilhoite,
Wayne Christian,
William Gore,
Xavier Becerra,data/rep_on_the_issues/Xavier_Becerra.html
Yvette D. Clarke,data/rep_on_the_issues/Yvette_Clarke.html
Zach Conine,
